"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C13";"C_0603_1608Metric";2;"3.3nF";;;
2;"U5,U6";"SOT-23-5";2;"OPA320AIDBVR";;;
3;"R16";"R_0603_1608Metric";1;"10k";;;
4;"J1";"DIP-48_W15.24mm_Socket_LongPads";1;"Conn_02x24_Counter_Clockwise";;;
5;"R13,R5,R2";"R_0603_1608Metric";3;"100k";;;
6;"C21,C18";"C_0603_1608Metric";2;"10n";;;
7;"SW1";"TS01CQE_CNK";1;"TS01CQE";;;
8;"C17,C27,C16,C26,C1";"C_0603_1608Metric";5;"0.1u";;;
9;"R14";"R_0603_1608Metric";1;"1M";;;
10;"C5,C2";"C_0805_2012Metric";2;"0.1uF";;;
11;"U8";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias";1;"LP5912-3.3DRV";;;
12;"R10,R49";"R_0603_1608Metric";2;"49";;;
13;"C11";"C_0805_2012Metric";1;"10 uF";;;
14;"J2";"CONN_37AH";1;"PJ-037AH";;;
15;"C19";"C_0805_2012Metric";1;"4.7u";;;
16;"C31,C30,C10,C9";"C_0805_2012Metric";4;"1 uF";;;
17;"U2,U3";"DRB8_2P4X1P65";2;"OPA381AIDRBT";;;
18;"C25";"C_0805_2012Metric";1;"v";;;
19;"C6,C3";"C_0603_1608Metric";2;"24.7pF";;;
20;"R12";"R_0603_1608Metric";1;"18.2 kOhms";;;
21;"U1";"D8";1;"OPA2320AID";;;
22;"R7,R4,R1,R8";"R_0603_1608Metric";4;"1k";;;
23;"C99,C29,C4,C100,C4,C28";"C_0603_1608Metric";6;"0.1uF";;;
24;"R9";"R_0603_1608Metric";1;"0.1";;;
25;"U4";"DBV0006A_N";1;"REF3425IDBVR";;;
26;"U7";"05-08-1664_ADI";1;"LT8609EMSE-TRPBF";;;
27;"C8";"C_0805_2012Metric";1;"10uF";;;
28;"C15";"C_0805_2012Metric";1;"10u";;;
29;"D1,D2";"TO-5-3";2;"D_Photo";;;
30;"L1";"L_Coilcraft_XxL4020";1;"2.2u";;;
31;"C7";"C_0603_1608Metric";1;"0.1 uF";;;
32;"C22";"C_0805_2012Metric";1;"22u";;;
33;"R15";"R_0603_1608Metric";1;"187k";;;
34;"U9";"UJ_6_ADI";1;"ADR130AUJZ-REEL7";;;
35;"C24";"C_0805_2012Metric";1;"1u";;;
36;"C14";"C_2220_5750Metric";1;"47u";;;
37;"C20";"C_0603_1608Metric";1;"1u";;;
38;"IC1";"QFN50P300X300X80-17N-D";1;"ADS8355IRTET";;;
39;"R3,R6";"R_0603_1608Metric";2;"787";;;
40;"C23";"C_0603_1608Metric";1;"10p";;;
